filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,percussive_mean,percussive_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,spectral_flatness_mean,spectral_flatness_var,label
blues.00000.wav,661794,0.35008812,0.08875657,0.13022792,0.0028266965,1784.165849538755,129774.06452515082,2002.4490601176963,85882.76131549841,3805.8396058403423,901505.4255328419,0.08304482066898686,0.0007669456545940504,-4.529724e-05,0.008172282,7.783232e-06,0.005698182,123.046875,-113.57065,2564.2075,121.57179,295.91382,-19.168142,235.57443,42.36642,151.1069,-6.364664,167.9348,18.623499,89.18084,-13.704889,67.66049,15.34315,68.93258,-12.27411,82.2042,10.976571,63.38631,-8.326573,61.773094,8.803792,51.244125,-3.6723,41.217415,5.747995,40.554478,-5.162882,49.77543,0.75273985,52.42091,-1.6902149,36.52407,-0.40897897,41.597103,-2.3035226,55.062923,1.2212901,46.93603,0.0044983495,3.0388146e-05,blues
blues.00001.wav,661794,0.34091353,0.094980255,0.09594781,0.0023727391,1530.1766787460795,375850.07364868594,2039.0365160924302,213843.75549673408,3550.5220984084976,2977893.3881386598,0.05603980870552978,0.001447521491359064,0.00013958072,0.0050993324,-0.00017760842,0.0030631716,107.666015625,-207.5017,7764.555,123.991264,560.25995,8.955127,572.8108,35.87765,264.50613,2.9073198,279.93292,21.510468,156.4771,-8.560436,200.84917,23.370686,142.55595,-10.099661,166.10852,11.900497,104.358604,-5.555639,105.17363,5.3763275,96.19721,-2.23176,64.91429,4.22014,73.152534,-6.0121484,52.422142,0.9279974,55.356403,-0.7311249,60.31453,0.29507303,48.120598,-0.28351817,51.10619,0.53121585,45.78628,0.0022976724,2.3538447e-05,blues
blues.00002.wav,661794,0.3636372,0.085275196,0.17557041,0.0027459164,1552.8118647610036,156467.64336831577,1747.702311667602,76254.19225682177,3042.2602323810906,784034.4607039173,0.07629120746326373,0.0010068290788351824,2.1055757e-06,0.016341973,-1.946624e-05,0.007457626,161.4990234375,-90.722595,3319.045,140.4463,508.76508,-29.09389,411.78122,31.684334,144.09035,-13.984504,155.49376,25.764742,74.54839,-13.664875,106.98183,11.639934,106.574875,-11.783642,65.447945,9.7187605,67.90886,-13.133803,57.781425,5.791199,64.48021,-8.907628,60.38515,-1.077,57.711136,-9.229274,36.58099,2.4516895,40.598766,-7.7290936,47.639427,-1.8164068,52.38214,-3.4397204,46.639664,-2.2312589,30.573019,0.002630936,1.1190394e-05,blues
blues.00003.wav,661794,0.4047847,0.093999036,0.141093,0.0063463463,1070.1066149971282,184355.94241695415,1596.4128721770246,166441.49476892402,2184.7457991951856,1493194.3602957157,0.03330886262567672,0.00042275898709484,4.583644e-07,0.019054487,-1.448318e-05,0.002712198,172.265625,-199.5442,5507.517,150.0909,456.50537,5.6626782,257.16116,26.85908,158.2673,1.7713993,268.03436,14.234031,126.79412,-4.8320065,155.91208,9.286495,81.27374,-0.7591865,92.11409,8.137607,71.31408,-3.200653,110.23669,6.079319,48.251995,-2.4801738,56.7994,-1.0793047,62.2899,-2.8707886,51.651596,0.7808735,44.427753,-3.3195965,50.206673,0.6369653,37.319134,-0.61912125,37.259735,-3.4074485,31.949339,0.00095402723,2.660916e-06,blues
blues.00004.wav,661794,0.308526,0.08784098,0.09152871,0.0023033977,1835.0042655120715,343399.9392740412,1748.1721158264984,88445.20903590052,3579.757626703886,1572977.8318808712,0.10146053871809745,0.0019541247020998685,-1.7561288e-05,0.0048140003,-1.0112742e-05,0.0030938995,135.99917763157896,-160.3377,5195.292,126.219635,853.7848,-35.58781,333.79297,22.148071,193.45612,-32.478603,336.27682,10.852294,134.83157,-23.352331,93.257095,0.49843368,124.67213,-11.793437,130.07335,1.2072551,99.6756,-13.088418,80.254074,-2.813867,86.43062,-6.9333844,89.55544,-7.5527253,70.94334,-9.164666,75.7934,-4.5205755,86.099236,-5.454034,75.269714,-0.91687363,53.61392,-4.404826,62.910812,-11.703234,55.19516,0.0032377862,1.897771e-05,blues
blues.00005.wav,661794,0.30245626,0.087532386,0.10349364,0.003980508,1831.993939606849,1030482.3696398635,1729.6532869429993,201910.50863315485,3481.5175917198376,3274439.958151877,0.09404153373936582,0.006233195614802252,1.9614177e-07,0.008082612,-2.6505677e-05,0.0032420435,112.34714673913044,-177.77425,7307.417,118.20548,3195.213,-17.56588,654.37384,30.762402,485.74652,-21.747839,433.41,11.920995,266.39154,-20.730993,169.74173,3.1865778,133.73685,-8.586039,172.22939,-0.93285215,100.126076,-11.772434,76.54654,-2.4058323,78.70782,-9.343665,80.29009,-9.93621,47.552048,-3.9039948,60.071102,-5.57659,72.549225,-1.8382632,68.70203,-2.7837996,42.447453,-3.047909,39.808784,-8.109991,46.311005,0.0030608482,4.2015672e-05,blues
blues.00006.wav,661794,0.29132798,0.093981326,0.14187415,0.008803189,1459.366471695765,437859.3980511428,1389.00913118495,185023.23954542525,2795.610963330191,1621442.0252432257,0.07305223740815932,0.0019091706678011008,-9.672069e-06,0.016923327,-2.2372587e-05,0.005953942,123.046875,-190.05237,9656.535,130.28908,1932.7957,-36.369534,1307.4882,33.029034,480.35208,11.108783,1083.6486,-0.60558355,280.77814,-20.871855,152.26305,0.27302474,102.91594,-6.4861403,130.94524,-5.5167675,153.45065,-7.8397517,87.440834,-3.128592,64.225655,-6.596197,79.12598,-9.950378,63.190266,-6.5351768,86.379135,-10.068051,83.248245,-10.913176,56.902153,-6.971336,38.231804,-3.4365046,48.23574,-6.4834657,70.170364,0.00096893025,8.228382e-06,blues
blues.00007.wav,661794,0.30795482,0.09290288,0.13182218,0.0055311434,1451.6670658428209,449568.16245441,1577.2709414206283,168211.93880422297,2954.836759987674,1629129.9716715873,0.061442246108855375,0.0018488162723341102,1.9416686e-05,0.0132230325,-4.8120713e-05,0.0048386585,92.28515625,-179.34714,6573.922,136.46901,1479.2494,-26.673138,591.63196,39.98425,352.5465,5.304416,650.2316,10.928612,136.30414,-20.564827,163.77182,8.511157,151.29498,-11.357249,171.94316,-3.4683466,178.18507,-8.419937,147.50786,-6.9497156,83.7183,-3.5391388,93.3214,-8.041617,57.490086,-8.960675,82.21691,-8.426083,70.43844,-10.568936,52.090893,-10.784514,60.46133,-4.690677,65.547516,-8.630722,56.401436,0.0014362077,1.0331144e-05,blues
blues.00008.wav,661794,0.40887925,0.086512476,0.14241649,0.0015071561,1719.3689480431458,163282.8454389629,2031.7403810025385,105542.71819310635,3782.316288428074,1262916.988721475,0.06402488761600927,0.0007314817438538322,2.2648285e-06,0.012702081,-1.9727886e-05,0.003465382,83.35433467741936,-121.363945,2622.1948,122.50668,414.5059,-14.738196,341.21716,46.131065,193.62128,-8.181879,177.16402,20.182962,107.01757,-19.173378,57.66452,23.039139,77.06928,-11.838223,42.60453,21.16,58.66767,-6.718366,48.94551,6.9925423,56.430885,-12.730596,61.98458,5.0613246,50.532127,-5.183214,32.967136,-1.4525597,50.56375,-7.041824,28.894934,2.6952481,36.88957,3.4123054,33.6986,-2.7156925,36.41843,0.0025944572,9.270434e-06,blues
blues.00009.wav,661794,0.2739504,0.092315964,0.08131366,0.0043468648,1817.150863125721,298236.1412223163,1973.7733063015253,114070.11259083843,3943.490565182715,1367638.2345263455,0.07917482356921887,0.0013776590528174816,-1.6622186e-06,0.0072214073,-2.3293947e-05,0.0016769291,129.19921875,-213.23999,6133.7217,115.1656,798.2787,-11.693431,668.9616,39.014275,350.70847,-20.341278,531.9755,13.077605,278.81815,-9.173518,126.72614,9.011447,68.01217,-14.100634,110.074875,4.2659416,92.64541,-6.0461674,84.93378,3.782207,104.44965,0.2217994,76.33887,-5.1093993,85.39026,-0.41023037,103.98843,-1.1799208,59.3146,-1.9168046,58.41844,-2.2926605,83.20523,2.881967,77.08222,-4.2352037,91.46881,0.002708275,1.03167895e-05,blues
